,"Number of pregnancy-related deaths (N = 1,018)",%
Race and ethnicity,,
Hispanic,144,14.4
non-Hispanic American Indian or Alaska Native,9,0.9
non-Hispanic Asian,34,3.4
non-Hispanic Black,315,31.4
non-Hispanic Native Hawaiian and Other Pacific Islander,6,0.6
non-Hispanic White,467,46.6
non-Hispanic other/multiple races,27,2.7
Age at death (years),,
15–19,29,2.9
20–24,155,15.3
25–29,227,22.4
30–34,297,29.3
35–39,225,22.2
40–44,70,6.9
≥45,10,1.0
Education,,
12th grade or less; no diploma,135,13.7
High school graduate or GED completed,396,40.1
"Some college credit, but no degree",192,19.4
Associate or Bachelor degree,218,22.1
Advanced degree,47,4.8
