,Total,Hispanic,Non-Hispanic,,,,,,,,,,,
Condition,,,,,AI/AN,Asian,Black,NHOPI,White,,,,,
Number of pregnancy-related deaths,%,Number of pregnancy-related deaths,%,Number of pregnancy-related deaths,%,Number of pregnancy-related deaths,%,Number of pregnancy-related deaths,%,Number of pregnancy-related deaths,%,Number of pregnancy-related deaths,%,
Mental health conditionsd,115,22.5,16,15.8,2,-,1,7.7,13,8.6,0,-,79,36.4
Cardiovascular conditions,85,16.6,12,11.9,2,-,1,7.7,35,23,0,-,33,15.2
Cardiomyopathy,35,6.8,5,5,2,-,1,7.7,12,7.9,0,-,14,6.5
Other cardiovascular     conditionse,50,9.8,7,6.9,0,-,0,0.0,23,15.1,0,-,19,8.8
Infection,84,16.4,32,31.7,2,-,1,7.7,29,19.1,1,-,16,7.4
COVID-19,54,10.6,29,28.7,2,-,0,0,17,11.2,1,-,4,1.8
Hemorrhage,57,11.2,14,13.9,0,-,1,7.7,11,7.2,0,-,29,13.4
Embolism,44,8.6,5,5,0,-,2,15.4,21,13.8,0,-,14,6.5
Hypertensive disorders of pregnancy,36,7.1,7,6.9,0,-,1,7.7,11,7.2,0,-,13,6
Amniotic fluid embolism,19,3.7,4,4,0,-,3,23.1,2,1.3,0,-,9,4.2
Injury,11,2.2,1,1,0,-,0,0,5,3.3,0,-,5,2.3
Cerebrovascular accident,10,2,2,2,0,-,0,0.0,3,2,0,-,5,2.3
Collagen vascular/autoimmune diseases,9,1.8,3,3,0,-,1,7.7,2,1.3,1,-,2,0.9
Metabolic/endocrine,9,1.8,0,0,0,-,0,0.0,7,4.6,0,-,2,0.9
Pulmonary conditions,7,1.4,2,2,0,-,0,0.0,3,2,0,-,2,0.9
Cancer,5,1,1,1,0,-,0,0.0,3,2,0,-,1,0.5
Conditions unique to pregnancy,4,0.8,0,0,0,-,0,0.0,1,0.7,0,-,3,1.4
Hematologic,4,0.8,1,1,0,-,1,7.7,1,0.7,0,-,1,0.5
Neurologic/neurovascular conditions,4,0.8,0,0,0,-,1,7.7,1,0.7,0,-,1,0.5
Anesthesia complications,3,0.6,0,0,0,-,0,0.0,2,1.3,0,-,1,0.5
Gastrointestinal disorders,3,0.6,1,1,0,-,0,0.0,2,1.3,0,-,0,0
Renal diseases,2,0.4,0,0,0,-,0,0.0,0,0,0,-,1,0.5
,,,,,,,,,,,,,,
