CountyState_FIPS,County_Name_wState_Abbreviation,State,COUNTYNM,Level_of_Maternity_Care_0mcd_1Low_2mod_3access,Level_of_Maternity_Care_Label,GroupLevel,MapGeoColor,MapGeoId,MapGeoInfo
1001,"Autauga, Alabama",Alabama,Autauga,1,Low Access to Care,GroupLevel1,1,01001,Level of Maternity Care: Low Access to Care
1003,"Baldwin, Alabama",Alabama,Baldwin,3,Access to Maternity Care,GroupLevel3,3,01003,Level of Maternity Care: Access to Maternity Care
1005,"Barbour, Alabama",Alabama,Barbour,1,Low Access to Care,GroupLevel1,1,01005,Level of Maternity Care: Low Access to Care
1007,"Bibb, Alabama",Alabama,Bibb,3,Access to Maternity Care,GroupLevel3,3,01007,Level of Maternity Care: Access to Maternity Care
1009,"Blount, Alabama",Alabama,Blount,0,Maternity Care Desert,GroupLevel0,0,01009,Level of Maternity Care: Maternity Care Desert
1011,"Bullock, Alabama",Alabama,Bullock,0,Maternity Care Desert,GroupLevel0,0,01011,Level of Maternity Care: Maternity Care Desert
1013,"Butler, Alabama",Alabama,Butler,0,Maternity Care Desert,GroupLevel0,0,01013,Level of Maternity Care: Maternity Care Desert
1015,"Calhoun, Alabama",Alabama,Calhoun,3,Access to Maternity Care,GroupLevel3,3,01015,Level of Maternity Care: Access to Maternity Care
1017,"Chambers, Alabama",Alabama,Chambers,0,Maternity Care Desert,GroupLevel0,0,01017,Level of Maternity Care: Maternity Care Desert
1019,"Cherokee, Alabama",Alabama,Cherokee,0,Maternity Care Desert,GroupLevel0,0,01019,Level of Maternity Care: Maternity Care Desert
1021,"Chilton, Alabama",Alabama,Chilton,1,Low Access to Care,GroupLevel1,1,01021,Level of Maternity Care: Low Access to Care
1023,"Choctaw, Alabama",Alabama,Choctaw,0,Maternity Care Desert,GroupLevel0,0,01023,Level of Maternity Care: Maternity Care Desert
1025,"Clarke, Alabama",Alabama,Clarke,1,Low Access to Care,GroupLevel1,1,01025,Level of Maternity Care: Low Access to Care
1027,"Clay, Alabama",Alabama,Clay,1,Low Access to Care,GroupLevel1,1,01027,Level of Maternity Care: Low Access to Care
1029,"Cleburne, Alabama",Alabama,Cleburne,0,Maternity Care Desert,GroupLevel0,0,01029,Level of Maternity Care: Maternity Care Desert
1031,"Coffee, Alabama",Alabama,Coffee,1,Low Access to Care,GroupLevel1,1,01031,Level of Maternity Care: Low Access to Care
1033,"Colbert, Alabama",Alabama,Colbert,3,Access to Maternity Care,GroupLevel3,3,01033,Level of Maternity Care: Access to Maternity Care
1035,"Conecuh, Alabama",Alabama,Conecuh,3,Access to Maternity Care,GroupLevel3,3,01035,Level of Maternity Care: Access to Maternity Care
1037,"Coosa, Alabama",Alabama,Coosa,3,Access to Maternity Care,GroupLevel3,3,01037,Level of Maternity Care: Access to Maternity Care
1039,"Covington, Alabama",Alabama,Covington,1,Low Access to Care,GroupLevel1,1,01039,Level of Maternity Care: Low Access to Care
1041,"Crenshaw, Alabama",Alabama,Crenshaw,0,Maternity Care Desert,GroupLevel0,0,01041,Level of Maternity Care: Maternity Care Desert
1043,"Cullman, Alabama",Alabama,Cullman,1,Low Access to Care,GroupLevel1,1,01043,Level of Maternity Care: Low Access to Care
1045,"Dale, Alabama",Alabama,Dale,1,Low Access to Care,GroupLevel1,1,01045,Level of Maternity Care: Low Access to Care
1047,"Dallas, Alabama",Alabama,Dallas,3,Access to Maternity Care,GroupLevel3,3,01047,Level of Maternity Care: Access to Maternity Care
1049,"DeKalb, Alabama",Alabama,DeKalb,3,Access to Maternity Care,GroupLevel3,3,01049,Level of Maternity Care: Access to Maternity Care
1051,"Elmore, Alabama",Alabama,Elmore,0,Maternity Care Desert,GroupLevel0,0,01051,Level of Maternity Care: Maternity Care Desert
1053,"Escambia, Alabama",Alabama,Escambia,3,Access to Maternity Care,GroupLevel3,3,01053,Level of Maternity Care: Access to Maternity Care
1055,"Etowah, Alabama",Alabama,Etowah,1,Low Access to Care,GroupLevel1,1,01055,Level of Maternity Care: Low Access to Care
1057,"Fayette, Alabama",Alabama,Fayette,3,Access to Maternity Care,GroupLevel3,3,01057,Level of Maternity Care: Access to Maternity Care
1059,"Franklin, Alabama",Alabama,Franklin,1,Low Access to Care,GroupLevel1,1,01059,Level of Maternity Care: Low Access to Care
1061,"Geneva, Alabama",Alabama,Geneva,0,Maternity Care Desert,GroupLevel0,0,01061,Level of Maternity Care: Maternity Care Desert
1063,"Greene, Alabama",Alabama,Greene,0,Maternity Care Desert,GroupLevel0,0,01063,Level of Maternity Care: Maternity Care Desert
1065,"Hale, Alabama",Alabama,Hale,0,Maternity Care Desert,GroupLevel0,0,01065,Level of Maternity Care: Maternity Care Desert
1067,"Henry, Alabama",Alabama,Henry,0,Maternity Care Desert,GroupLevel0,0,01067,Level of Maternity Care: Maternity Care Desert
1069,"Houston, Alabama",Alabama,Houston,3,Access to Maternity Care,GroupLevel3,3,01069,Level of Maternity Care: Access to Maternity Care
